date,gdelt_goldstein,gdelt_tone,gdelt_conflict_cnt,gdelt_coop_cnt,gdelt_mentions,gdelt_conflict_intensity
2022-06-20,0.025179856115107948,-0.8175805496237681,105,312,2594,-7.010204081632653
2022-06-21,-0.2484626647144949,-2.2882779279875836,227,456,3979,-6.275115207373272
2022-06-22,0.40638012088650094,-2.8721611953264596,440,1049,9177,-5.453101736972704
2022-06-23,0.3941808415398389,-2.3837731047323163,299,818,6106,-5.9633802816901404
2022-06-24,0.7074183976261128,-2.050153624991759,409,1276,10948,-5.5360742705570285
2022-06-27,-0.5634259259259259,-2.8360774668426045,152,280,3425,-6.785034013605442
2022-06-28,0.07828947368421049,-2.9831161458519344,380,836,7524,-6.058119658119659
2022-06-29,0.07848807711821407,-3.1277732223145027,622,1349,13297,-5.588870151770657
2022-06-30,0.3141429669485011,-2.526259815064829,383,918,7917,-5.666388888888888
2022-07-01,0.10389718076285241,-2.7849047948271086,354,852,7287,-6.276086956521739
2022-07-04,0.42217573221757315,-1.9783914138438272,126,352,2356,-6.834482758620689
2022-07-05,-0.7417406749555949,-3.6341782354621333,173,390,3826,-7.587499999999999
2022-07-06,-0.6542899408284024,-3.5387288355234485,473,879,8182,-6.962272727272728
2022-07-07,-0.10329041487839775,-3.3371924290615818,465,933,7603,-5.725389755011135
2022-07-08,0.4282894736842106,-2.7043861892227814,398,970,7226,-5.929815303430078
2022-07-11,0.016704288939051872,-2.25720431762677,135,308,2733,-5.83828125
2022-07-12,0.24940944881889757,-2.5398799044877727,289,727,5622,-6.288847583643122
2022-07-13,-0.1526272577996716,-3.6485188114164844,397,821,6227,-5.733245382585753
2022-07-14,0.07854718262050232,-3.5241056939262285,426,1047,8784,-6.026582278481013
2022-07-15,0.07032863849765256,-2.949523494909967,329,736,5746,-6.109904153354633
2022-07-18,-0.45784114052953157,-3.6522834604560686,179,312,2852,-6.336875
2022-07-19,-0.1813840830449827,-3.5306247771580983,436,1009,7307,-6.381372549019609
2022-07-20,0.11625344352617074,-2.8167913435190037,321,768,5335,-6.038775510204082
2022-07-21,0.0315102548166563,-2.9273453685481976,472,1137,9243,-6.529061784897025
2022-07-22,0.39070996978851963,-1.920457205216453,331,993,6345,-6.366013071895424
2022-07-25,0.7255494505494506,-1.6811929318420575,92,272,1997,-5.436585365853658
2022-07-26,0.0850729517396184,-3.399221234640451,272,619,4614,-6.4573170731707314
2022-07-27,0.3110502283105023,-2.9474733006872005,313,782,6488,-5.619787985865725
2022-07-28,-0.16007812500000002,-3.0722136925314505,413,867,7341,-6.006666666666668
2022-07-29,0.2275409836065574,-3.5250886764511327,348,872,6472,-6.262349397590361
2022-08-01,-0.5038759689922481,-2.237754364606101,166,350,2824,-7.121379310344828
2022-08-02,-0.31685022026431725,-3.6726514568281505,314,594,4958,-6.486054421768708
2022-08-03,0.403068783068783,-2.791543685405302,260,685,5156,-5.6894067796610175
2022-08-04,0.26192468619246845,-2.2575886110499708,343,852,6315,-5.654088050314465
2022-08-05,-0.23010752688172048,-3.353556364747574,365,751,6077,-6.147813411078717
2022-08-08,0.6796728971962617,-2.1263422707076987,103,325,2070,-5.546236559139785
2022-08-09,-0.0335714285714286,-3.1301228178827607,461,939,7807,-5.981006864988558
2022-08-10,0.017180277349768885,-2.814177962989027,387,911,7806,-6.240970350404313
2022-08-11,-0.2301550387596899,-3.4030001437196633,417,873,7271,-5.598271604938271
2022-08-12,-0.4574468085106384,-2.9130800707264712,373,661,8405,-5.648611111111111
2022-08-15,0.4392370572207085,-2.6160048363245436,90,277,1790,-6.776190476190475
2022-08-16,-0.20868372943327237,-3.166912597190636,388,706,6339,-5.745277777777778
2022-08-17,0.0470588235294117,-3.020621609828594,337,734,6319,-5.680996884735202
2022-08-18,-0.08212689901697942,-2.917658225800928,346,773,6732,-5.770253164556962
2022-08-19,-0.17495769881556683,-3.1054674306840098,371,811,6607,-5.911204481792717
2022-08-22,-0.13138297872340435,-2.819749948798475,163,401,2622,-6.473717948717948
2022-08-23,0.46575144508670524,-2.94614371419029,378,1006,7753,-5.608215297450425
2022-08-24,-0.1701559020044544,-3.282593598322208,281,617,5013,-5.867924528301887
2022-08-25,-0.1957464553794829,-3.1351950652203517,415,784,6089,-5.632207792207793
2022-08-26,0.3091911764705883,-2.7316785454309533,371,989,7590,-5.800849858356941
2022-08-29,-0.07642679900744416,-2.914606706196904,113,290,2176,-6.6716981132075475
2022-08-30,-0.4767151767151769,-3.2388065339611916,334,628,6423,-6.543086816720257
2022-08-31,-0.06883018867924522,-3.318365508072287,413,912,7169,-5.987631578947369
2022-09-01,0.3877068557919622,-2.090359946194888,355,914,7379,-5.593636363636364
2022-09-02,0.35905688622754484,-3.1799490407820343,348,988,6665,-5.901529051987767
2022-09-05,-0.2503529411764706,-2.0837113875954705,124,301,2043,-6.936440677966102
2022-09-06,-0.16660988074957409,-2.231261785971348,165,422,2966,-6.383006535947713
2022-09-07,-0.1265037593984962,-2.3532664953913107,342,722,6128,-6.007739938080495
2022-09-08,0.02843951985226222,-2.663459347394985,334,749,6113,-5.61326860841424
2022-09-09,0.7363494539781591,-2.3261626895553946,331,951,7287,-5.177777777777778
2022-09-12,0.828894472361809,-2.340960240906184,91,307,2323,-5.928571428571429
2022-09-13,0.3364166666666667,-2.964961658467383,353,847,6808,-5.910559006211179
2022-09-14,0.5604632587859424,-3.0425672792623724,318,934,7670,-5.974750830564784
2022-09-15,0.32276816608996545,-2.5541795458642795,410,1035,7464,-5.8280205655527
2022-09-16,0.23720030935808198,-2.7644844373157618,383,910,7479,-5.497289972899729
2022-09-19,1.0943396226415094,-2.165916440819467,61,204,1485,-6.1258620689655165
2022-09-20,0.19406087602078692,-2.7067952281254333,387,960,7777,-5.956703910614525
2022-09-21,0.5701742627345844,-2.357568376925504,393,1099,7552,-5.6475543478260875
2022-09-22,0.13698201720093817,-2.9760155089315457,376,903,6623,-5.56016713091922
2022-09-23,-0.024670571010248894,-3.7808348049420575,448,918,7456,-5.5212713936430315
2022-09-26,-0.5598465473145781,-4.205545039383084,131,260,1986,-7.114516129032259
2022-09-27,0.5998287671232876,-2.901607267548998,314,854,6051,-5.886159169550172
2022-09-28,0.42767191383595676,-2.9385681363066976,343,864,7076,-6.061237785016287
